;grid=25x25:extent=(-36.0000,36,-36,36.0000):X_lbl=plate_x:Y_lbl=plate_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    #,   plate_x,   plate_y,  Seconds,       i0,       i1,      mon,    bstop,    Omron,      CH6,      CH7,     TEMP,   marccd,    ICRxT,    OCRxT,     ROI1,     ROI2,     ROI3,     ROI4,     ROI5,     ROI6,     ROI7,     ROI8,     ROI9,    ROI10,    RIO11,    ROI12,    ROI13,      SWX,     CCD1,    CTEMP,    Timer,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,Imax,Iave,ratio
90,8.999,-27.0001,60,12908846,374193,0,71169,28030689,0,0,0,65.005079,24120,23700,69,100,564,182,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.35144549,44.21808792,1.726701653
91,12.002,-27.0001,60,12881314,377828,0,70799,28307124,0,0,0,65.038753,23040,22620,52,92,491,216,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.98641588,43.64772512,1.901277
92,15,-27.0001,60,12974156,376813,0,71954,59130419,0,0,0,65.041055,21480,21120,55,89,492,171,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.09404389,41.78150661,1.869105502
93,17.998,-27.0001,60,12964581,374004,0,71821,57069154,0,0,0,65.016098,43380,42780,108,168,1148,382,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,415.896195,87.0045124,4.780168103
94,21.001,-27.0001,60,12957442,370501,0,71747,59949201,0,0,0,65.266344,50880,50220,1463,2768,817,298,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327.6222871,72.52004863,4.517678811
104,-23.999,-24,60,12930552,356708,0,71359,27760330,0,0,0,65.068595,35640,35160,93,146,958,338,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190.8458706,58.36564658,3.2698322
105,-21.001,-24,60,12989694,369938,0,72075,28335740,0,0,0,65.076929,33840,33360,78,178,915,323,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167.8711304,56.21406979,2.986283168
106,-17.998,-24,60,13029984,370429,0,72598,28505138,0,0,0,65.066966,26880,26460,76,189,653,207,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.60365643,46.92644576,1.973378868
107,-15,-24,60,13014655,370123,0,72405,28632106,0,0,0,65.095673,24480,24060,71,119,562,193,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.61021042,45.92068059,1.8860829
108,-12.002,-24,60,12982123,369467,0,72186,59949314,0,0,0,65.253137,25560,25200,64,132,609,237,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.15080048,48.24033643,1.889514196
