;grid=31x31:extent=(-44.0000,44,-44,44.0000):X_lbl=plate_x:Y_lbl=plate_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    #,   plate_x,   plate_y,  Seconds,       i0,       i1,      mon,    bstop,    Omron,      CH6,      CH7,     TEMP,   marccd,    ICRxT,    OCRxT,     ROI1,     ROI2,     ROI3,     ROI4,     ROI5,     ROI6,     ROI7,     ROI8,     ROI9,    ROI10,    RIO11,    ROI12,    ROI13,      SWX,     CCD1,    CTEMP,    Timer,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,Imax,Iave,Ratio
102,-17.5996,-35.2001,60,13322752,850704,0,75876,28650937,0,0,0,65.067935,363840,355380,231689,5153,1114,1137,33014,859,279368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410.6955729,168.0445265,2.443968758
103,-14.6663,-35.2001,60,13435503,853059,0,77205,28771420,0,0,0,65.065013,377760,368700,243597,4959,1111,1124,35370,844,293594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432.5572873,170.3033978,2.539921652
104,-11.733,-35.2001,60,13405358,850510,0,76898,28712575,0,0,0,65.247422,388620,379380,255579,4811,1088,1068,37057,837,307146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,442.4655944,172.5035994,2.564964417
105,-8.79978,-35.2001,60,13363897,843772,0,76402,28876191,0,0,0,65.029274,402480,392580,267577,4731,1132,993,38400,883,320555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,439.0106118,172.9034434,2.539050716
106,-5.86651,-35.2001,60,13317293,820273,0,75820,28680178,0,0,0,65.10855,404400,394380,273425,4487,1062,1005,39207,843,326873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420.5896203,170.7249334,2.463551234
107,-2.93325,-35.2001,60,13358780,845852,0,76338,28821463,0,0,0,65.021764,433080,421740,295342,4517,1119,1002,42798,877,352760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422.0041452,177.8622554,2.372645868
108,0,-35.2001,60,13368862,846701,0,76457,28610297,0,0,0,65.057917,446520,434760,309265,4313,1070,956,44432,874,368277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410.7090035,179.9647883,2.282163124
109,2.93329,-35.2001,60,13338250,840310,0,76085,28698417,0,0,0,65.02399,459900,447420,320942,4201,1074,898,46331,818,381700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,394.7754933,180.9516852,2.18166243
110,5.86655,-35.2001,60,13306134,839000,0,75685,29154932,0,0,0,65.356206,471840,458580,335741,4059,1097,904,48381,878,398620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380.2752446,182.9521577,2.078550203
111,8.79982,-35.2001,60,13313809,834162,0,75747,28809458,0,0,0,65.112,490920,477060,352591,4061,1091,847,50410,775,417538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366.0116067,185.1964504,1.976342451
